equiptment, equipment
beleive, believe
abreviate, abbreviate
accidently, accidentally
arguement, argument
bellweather, bellwether
alterior, ulterior
absorbtion, absorption
artic, arctic
asterick, asterisk
basicly, basically
congradulations, congratulations
definate, definite
disasterous, disastrous
embarass, embarrass
epitomy, epitome
grammer, grammar
grievious, grievous
marshmellow, marshmallow
mathmatics, mathematics
murmer, murmur
parliment, parliament
perogative, prerogative
possable, possible
priviledge, privilege
recomend, recommend
sacreligious, sacrilegious
tenative, tentative
tradegy, tragedy
verbage, verbiage
